LOWERTRACED_RFSMOTE_RAW_VSM,Associated
0.0,NO
0.0,NO
0.02,NO
0.0,NO
0.0,NO
0.02,NO
0.0,NO
0.0,NO
0.02,NO
0.38,YES
0.02,NO
0.38,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.38,YES
0.38,YES
0.38,YES
0.38,YES
0.02,NO
0.38,YES
0.02,NO
0.69,YES
0.69,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.69,YES
0.69,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.69,YES
0.0,NO
0.69,YES
0.0,NO
0.69,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.15,YES
0.0,NO
0.15,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.15,YES
0.15,YES
0.15,YES
0.15,YES
0.0,NO
0.15,YES
0.0,NO
0.0,YES
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,YES
0.06,YES
0.06,YES
0.01,YES
0.0,NO
0.0,NO
0.01,YES
0.0,NO
0.01,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.06,YES
0.0,NO
0.06,YES
0.0,NO
0.06,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,YES
0.0,NO
0.01,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.1,YES
0.0,NO
0.1,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.1,YES
0.1,YES
0.1,YES
0.1,YES
0.0,NO
0.1,YES
0.0,NO
0.04,NO
0.04,NO
0.0,YES
0.01,YES
0.01,YES
0.0,YES
0.04,NO
0.04,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.04,NO
0.01,YES
0.04,NO
0.01,YES
0.04,NO
0.01,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.23,YES
0.0,NO
0.23,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.23,YES
0.23,YES
0.23,YES
0.23,YES
0.0,NO
0.23,YES
0.0,NO
0.09,NO
0.09,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.09,NO
0.09,NO
0.0,NO
0.13,YES
0.0,NO
0.13,YES
0.01,NO
0.01,NO
