LOWERTRACED_RFUNDER_RAW_LSA,Associated
0.04,NO
0.04,NO
0.41,NO
0.44,NO
0.44,NO
0.41,NO
0.04,NO
0.04,NO
0.41,NO
0.53,YES
0.41,NO
0.53,YES
0.07,NO
0.07,NO
0.07,NO
0.04,NO
0.44,NO
0.04,NO
0.44,NO
0.04,NO
0.44,NO
0.53,YES
0.53,YES
0.53,YES
0.53,YES
0.41,NO
0.53,YES
0.41,NO
0.0,YES
0.0,YES
0.33,NO
0.47,NO
0.47,NO
0.33,NO
0.0,YES
0.0,YES
0.33,NO
0.02,NO
0.33,NO
0.02,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.47,NO
0.0,YES
0.47,NO
0.0,YES
0.47,NO
0.02,NO
0.02,NO
0.02,NO
0.02,NO
0.33,NO
0.02,NO
0.33,NO
0.42,NO
0.42,NO
0.33,NO
0.25,NO
0.25,NO
0.33,NO
0.42,NO
0.42,NO
0.33,NO
0.51,YES
0.33,NO
0.51,YES
0.02,NO
0.02,NO
0.02,NO
0.42,NO
0.25,NO
0.42,NO
0.25,NO
0.42,NO
0.25,NO
0.51,YES
0.51,YES
0.51,YES
0.51,YES
0.33,NO
0.51,YES
0.33,NO
0.01,YES
0.01,YES
0.49,NO
0.6,NO
0.6,NO
0.49,NO
0.01,YES
0.01,YES
0.49,NO
0.01,NO
0.49,NO
0.01,NO
0.0,NO
0.0,NO
0.0,NO
0.01,YES
0.6,NO
0.01,YES
0.6,NO
0.01,YES
0.6,NO
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.49,NO
0.01,NO
0.49,NO
0.02,NO
0.02,NO
0.74,YES
0.21,YES
0.21,YES
0.74,YES
0.02,NO
0.02,NO
0.74,YES
0.31,NO
0.74,YES
0.31,NO
0.0,NO
0.0,NO
0.0,NO
0.02,NO
0.21,YES
0.02,NO
0.21,YES
0.02,NO
0.21,YES
0.31,NO
0.31,NO
0.31,NO
0.31,NO
0.74,YES
0.31,NO
0.74,YES
0.13,NO
0.13,NO
0.69,NO
0.62,NO
0.62,NO
0.69,NO
0.13,NO
0.13,NO
0.69,NO
0.55,YES
0.69,NO
0.55,YES
0.02,NO
0.02,NO
0.02,NO
0.13,NO
0.62,NO
0.13,NO
0.62,NO
