LOWERTRACED_RFNONE_SINGLE_VSM,Associated
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.01,NO
0.89,YES
0.01,NO
0.89,YES
0.04,NO
0.04,NO
0.04,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.89,YES
0.89,YES
0.89,YES
0.89,YES
0.01,NO
0.89,YES
0.01,NO
0.8875,YES
0.8875,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.8875,YES
0.8875,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.8875,YES
0.0,NO
0.8875,YES
0.0,NO
0.8875,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.01,NO
0.89,YES
0.01,NO
0.89,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.89,YES
0.89,YES
0.89,YES
0.89,YES
0.01,NO
0.89,YES
0.01,NO
0.9275,YES
0.9275,YES
0.05,NO
0.0,NO
0.0,NO
0.05,NO
0.9275,YES
0.9275,YES
0.05,NO
0.0,NO
0.05,NO
0.0,NO
0.02,NO
0.02,NO
0.02,NO
0.9275,YES
0.0,NO
0.9275,YES
0.0,NO
0.9275,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.05,NO
0.0,NO
0.05,NO
0.0,NO
0.0,NO
0.01,YES
0.81,YES
0.81,YES
0.01,YES
0.0,NO
0.0,NO
0.01,YES
0.0,NO
0.01,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.81,YES
0.0,NO
0.81,YES
0.0,NO
0.81,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,YES
0.0,NO
0.01,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.92,YES
0.0,NO
0.92,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.92,YES
0.92,YES
0.92,YES
0.92,YES
0.0,NO
0.92,YES
0.0,NO
0.0,NO
0.0,NO
0.29,YES
0.86,YES
0.86,YES
0.29,YES
0.0,NO
0.0,NO
0.29,YES
0.01,NO
0.29,YES
0.01,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.86,YES
0.0,NO
0.86,YES
0.0,NO
0.86,YES
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.29,YES
0.01,NO
0.29,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.91,YES
0.0,NO
0.91,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.91,YES
0.91,YES
0.91,YES
0.91,YES
0.0,NO
0.91,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.03,NO
0.03,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.89,YES
0.0,NO
0.89,YES
