LOWERTRACED_RFUNDER_SINGLE_VSM,Associated
0.0,NO
0.0,NO
0.02,NO
0.0,NO
0.0,NO
0.02,NO
0.0,NO
0.0,NO
0.02,NO
1.0,YES
0.02,NO
1.0,YES
0.01,NO
0.01,NO
0.01,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.02,NO
1.0,YES
0.02,NO
1.0,YES
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
1.0,YES
0.0,NO
0.01,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.0,NO
0.06,NO
0.0,NO
0.0,NO
0.06,NO
0.0,NO
0.0,NO
0.06,NO
0.98,YES
0.06,NO
0.98,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.98,YES
0.98,YES
0.98,YES
0.98,YES
0.06,NO
0.98,YES
0.06,NO
1.0,YES
1.0,YES
0.03,NO
0.0,NO
0.0,NO
0.03,NO
1.0,YES
1.0,YES
0.03,NO
0.03,NO
0.03,NO
0.03,NO
0.04,NO
0.04,NO
0.04,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.03,NO
0.03,NO
0.03,NO
0.03,NO
0.03,NO
0.03,NO
0.03,NO
0.0,NO
0.0,NO
0.0,YES
0.96,YES
0.96,YES
0.0,YES
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.96,YES
0.0,NO
0.96,YES
0.0,NO
0.96,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.98,YES
0.0,NO
0.98,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.98,YES
0.98,YES
0.98,YES
0.98,YES
0.0,NO
0.98,YES
0.0,NO
0.0,NO
0.0,NO
0.43,YES
0.96,YES
0.96,YES
0.43,YES
0.0,NO
0.0,NO
0.43,YES
0.01,NO
0.43,YES
0.01,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.96,YES
0.0,NO
0.96,YES
0.0,NO
0.96,YES
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.43,YES
0.01,NO
0.43,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.99,YES
0.0,NO
0.99,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.99,YES
0.99,YES
0.99,YES
0.99,YES
0.0,NO
0.99,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.01,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.98,YES
0.0,NO
0.98,YES
0.0,NO
0.0,NO
