LOWERTRACED_RFUNDER_MULTI_VSM,Associated
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.01,NO
0.95,YES
0.01,NO
0.95,YES
0.52,NO
0.52,NO
0.52,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.95,YES
0.95,YES
0.95,YES
0.95,YES
0.01,NO
0.95,YES
0.01,NO
0.95,YES
0.95,YES
0.01,NO
0.0,NO
0.0,NO
0.01,NO
0.95,YES
0.95,YES
0.01,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.95,YES
0.0,NO
0.95,YES
0.0,NO
0.95,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.04,NO
0.06,NO
0.06,NO
0.04,NO
0.0,NO
0.0,NO
0.04,NO
0.97,YES
0.04,NO
0.97,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.06,NO
0.0,NO
0.06,NO
0.0,NO
0.06,NO
0.97,YES
0.97,YES
0.97,YES
0.97,YES
0.04,NO
0.97,YES
0.04,NO
0.07,YES
0.07,YES
0.49,NO
0.5,NO
0.5,NO
0.49,NO
0.07,YES
0.07,YES
0.49,NO
0.0,NO
0.49,NO
0.0,NO
0.14,NO
0.14,NO
0.14,NO
0.07,YES
0.5,NO
0.07,YES
0.5,NO
0.07,YES
0.5,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.49,NO
0.0,NO
0.49,NO
0.01,NO
0.01,NO
0.76,YES
0.95,YES
0.95,YES
0.76,YES
0.01,NO
0.01,NO
0.76,YES
0.0,NO
0.76,YES
0.0,NO
0.12,NO
0.12,NO
0.12,NO
0.01,NO
0.95,YES
0.01,NO
0.95,YES
0.01,NO
0.95,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.76,YES
0.0,NO
0.76,YES
0.0,NO
0.0,NO
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.0,NO
0.0,NO
0.01,NO
0.97,YES
0.01,NO
0.97,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.01,NO
0.0,NO
0.01,NO
0.97,YES
0.97,YES
0.97,YES
0.97,YES
0.01,NO
0.97,YES
0.01,NO
0.0,NO
0.0,NO
0.11,YES
0.71,YES
0.71,YES
0.11,YES
0.0,NO
0.0,NO
0.11,YES
0.06,NO
0.11,YES
0.06,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.71,YES
0.0,NO
0.71,YES
0.0,NO
0.71,YES
0.06,NO
0.06,NO
0.06,NO
0.06,NO
0.11,YES
0.06,NO
0.11,YES
0.0,NO
0.0,NO
0.01,NO
0.02,NO
0.02,NO
0.01,NO
0.0,NO
0.0,NO
0.01,NO
0.95,YES
0.01,NO
0.95,YES
0.03,NO
0.03,NO
0.03,NO
0.0,NO
0.02,NO
0.0,NO
0.02,NO
0.0,NO
0.02,NO
0.95,YES
0.95,YES
0.95,YES
0.95,YES
0.01,NO
0.95,YES
0.01,NO
0.0,NO
0.0,NO
0.09,NO
0.03,NO
0.03,NO
0.09,NO
0.0,NO
0.0,NO
0.09,NO
0.97,YES
0.09,NO
0.97,YES
0.0,NO
0.0,NO
