LOWERTRACED_RFNONE_MULTI_VSM,Associated
0.0,NO
0.0,NO
0.02,NO
0.0,NO
0.0,NO
0.02,NO
0.0,NO
0.0,NO
0.02,NO
0.8,YES
0.02,NO
0.8,YES
0.63,NO
0.63,NO
0.63,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.8,YES
0.8,YES
0.8,YES
0.8,YES
0.02,NO
0.8,YES
0.02,NO
0.75,YES
0.75,YES
0.02,NO
0.0,NO
0.0,NO
0.02,NO
0.75,YES
0.75,YES
0.02,NO
0.0,NO
0.02,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.75,YES
0.0,NO
0.75,YES
0.0,NO
0.75,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.02,NO
0.0,NO
0.02,NO
0.0,NO
0.0,NO
0.06,NO
0.12,NO
0.12,NO
0.06,NO
0.0,NO
0.0,NO
0.06,NO
0.8,YES
0.06,NO
0.8,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.12,NO
0.0,NO
0.12,NO
0.0,NO
0.12,NO
0.8,YES
0.8,YES
0.8,YES
0.8,YES
0.06,NO
0.8,YES
0.06,NO
0.04,YES
0.04,YES
0.53,NO
0.52,NO
0.52,NO
0.53,NO
0.04,YES
0.04,YES
0.53,NO
0.0,NO
0.53,NO
0.0,NO
0.16,NO
0.16,NO
0.16,NO
0.04,YES
0.52,NO
0.04,YES
0.52,NO
0.04,YES
0.52,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.53,NO
0.0,NO
0.53,NO
0.0,NO
0.0,NO
0.52,YES
0.66,YES
0.66,YES
0.52,YES
0.0,NO
0.0,NO
0.52,YES
0.01,NO
0.52,YES
0.01,NO
0.12,NO
0.12,NO
0.12,NO
0.0,NO
0.66,YES
0.0,NO
0.66,YES
0.0,NO
0.66,YES
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.52,YES
0.01,NO
0.52,YES
0.0,NO
0.0,NO
0.02,NO
0.02,NO
0.02,NO
0.02,NO
0.0,NO
0.0,NO
0.02,NO
0.79,YES
0.02,NO
0.79,YES
0.02,NO
0.02,NO
0.02,NO
0.0,NO
0.02,NO
0.0,NO
0.02,NO
0.0,NO
0.02,NO
0.79,YES
0.79,YES
0.79,YES
0.79,YES
0.02,NO
0.79,YES
0.02,NO
0.0,NO
0.0,NO
0.1,YES
0.33,YES
0.33,YES
0.1,YES
0.0,NO
0.0,NO
0.1,YES
0.06,NO
0.1,YES
0.06,NO
0.02,NO
0.02,NO
0.02,NO
0.0,NO
0.33,YES
0.0,NO
0.33,YES
0.0,NO
0.33,YES
0.06,NO
0.06,NO
0.06,NO
0.06,NO
0.1,YES
0.06,NO
0.1,YES
0.0,NO
0.0,NO
0.04,NO
0.02,NO
0.02,NO
0.04,NO
0.0,NO
0.0,NO
0.04,NO
0.77,YES
0.04,NO
0.77,YES
0.03,NO
0.03,NO
0.03,NO
0.0,NO
0.02,NO
0.0,NO
0.02,NO
0.0,NO
0.02,NO
0.77,YES
0.77,YES
0.77,YES
0.77,YES
0.04,NO
0.77,YES
0.04,NO
0.0,NO
0.0,NO
0.08,NO
0.02,NO
0.02,NO
0.08,NO
0.0,NO
0.0,NO
0.08,NO
0.79,YES
0.08,NO
0.79,YES
0.0,NO
0.0,NO
