UPPERTRACED_RFSMOTE_RAW_LSA,Associated
0.2,NO
0.45,NO
0.59,NO
0.28,NO
0.16,NO
0.11,NO
0.13,NO
0.35,NO
0.09,NO
0.61,YES
0.14,NO
0.17,YES
0.61,NO
0.14,NO
0.6,NO
0.45,NO
0.11,NO
0.66,NO
0.11,NO
0.06,NO
0.14,NO
0.42,YES
0.11,YES
0.5,YES
0.44,YES
0.25,NO
0.11,YES
0.88,NO
0.12,YES
0.14,YES
0.21,NO
0.72,NO
0.16,NO
0.68,NO
0.19,YES
0.12,YES
0.09,NO
0.12,NO
0.22,NO
0.14,NO
0.12,NO
0.52,NO
0.23,NO
0.07,YES
0.15,NO
0.65,YES
0.21,NO
0.49,YES
0.12,NO
0.14,NO
0.18,NO
0.06,NO
0.12,NO
0.08,NO
0.52,NO
0.09,NO
0.2,NO
0.45,NO
0.59,NO
0.28,NO
0.16,NO
0.11,NO
0.13,NO
0.35,NO
0.09,NO
0.61,YES
0.14,NO
0.17,YES
0.61,NO
0.14,NO
0.6,NO
0.45,NO
0.11,NO
0.66,NO
0.11,NO
0.06,NO
0.14,NO
0.42,YES
0.11,YES
0.5,YES
0.44,YES
0.25,NO
0.11,YES
0.88,NO
0.12,YES
0.14,YES
0.21,NO
0.72,NO
0.16,NO
0.68,NO
0.19,YES
0.12,YES
0.09,NO
0.12,NO
0.22,NO
0.14,NO
0.12,NO
0.52,NO
0.23,NO
0.07,YES
0.15,NO
0.65,YES
0.21,NO
0.49,YES
0.12,NO
0.14,NO
0.18,NO
0.06,NO
0.12,NO
0.08,NO
0.52,NO
0.09,NO
0.12,NO
0.14,NO
0.21,YES
0.11,YES
0.11,YES
0.13,YES
0.13,NO
0.32,NO
0.16,YES
0.11,NO
0.11,YES
0.11,NO
0.11,NO
0.15,NO
0.12,NO
0.13,NO
0.13,YES
0.32,NO
0.57,YES
0.13,NO
0.11,YES
0.11,NO
0.11,NO
0.11,NO
0.12,NO
0.11,YES
0.11,NO
0.11,YES
0.2,NO
0.45,NO
0.59,NO
0.28,NO
0.16,NO
0.11,NO
0.13,NO
0.35,NO
0.09,NO
0.61,YES
0.14,NO
0.17,YES
0.61,NO
0.14,NO
0.6,NO
0.45,NO
0.11,NO
0.66,NO
0.11,NO
0.06,NO
0.14,NO
0.42,YES
0.11,YES
0.5,YES
0.44,YES
0.25,NO
0.11,YES
0.88,NO
0.12,NO
0.14,NO
0.21,YES
0.11,YES
0.11,YES
0.13,YES
0.13,NO
0.32,NO
0.16,YES
0.11,NO
0.11,YES
0.11,NO
0.11,NO
0.15,NO
0.12,NO
0.13,NO
0.13,YES
0.32,NO
0.57,YES
0.13,NO
0.11,YES
0.11,NO
0.11,NO
0.11,NO
0.12,NO
0.11,YES
0.11,NO
0.11,YES
0.2,NO
0.45,NO
0.59,NO
0.28,NO
0.16,NO
0.11,NO
0.13,NO
0.35,NO
0.09,NO
0.61,YES
0.14,NO
0.17,YES
0.61,NO
0.14,NO
0.6,NO
0.45,NO
0.11,NO
0.66,NO
0.11,NO
0.06,NO
0.14,NO
0.42,YES
0.11,YES
0.5,YES
0.44,YES
0.25,NO
0.11,YES
0.88,NO
0.2,NO
0.45,NO
0.59,NO
0.28,NO
0.16,NO
0.11,NO
0.13,NO
0.35,NO
0.09,NO
0.61,YES
0.14,NO
0.17,YES
0.61,NO
0.14,NO
0.6,NO
0.45,NO
0.11,NO
0.66,NO
0.11,NO
0.06,NO
0.14,NO
0.42,YES
0.11,YES
0.5,YES
0.44,YES
0.25,NO
0.11,YES
0.88,NO
0.2,NO
0.45,NO
0.59,NO
0.28,NO
0.16,NO
0.11,NO
0.13,NO
0.35,NO
0.09,NO
0.61,YES
0.14,NO
0.17,YES
0.61,NO
0.14,NO
0.6,NO
0.45,NO
0.11,NO
0.66,NO
0.11,NO
0.06,NO
0.14,NO
0.42,YES
0.11,YES
0.5,YES
0.44,YES
0.25,NO
0.11,YES
0.88,NO
0.2,NO
0.45,NO
0.59,NO
0.28,NO
0.16,NO
0.11,NO
0.13,NO
0.35,NO
0.09,NO
0.61,YES
0.14,NO
0.17,YES
0.61,NO
0.14,NO
0.6,NO
0.45,NO
0.11,NO
0.66,NO
0.11,NO
0.06,NO
0.14,NO
0.42,YES
0.11,YES
0.5,YES
0.44,YES
0.25,NO
0.11,YES
0.88,NO
0.11,NO
0.13,NO
0.11,YES
0.44,YES
0.49,YES
0.11,YES
0.11,NO
0.13,NO
0.12,YES
0.57,NO
0.11,YES
0.41,NO
0.11,NO
0.15,NO
0.2,NO
0.15,NO
0.13,YES
0.13,NO
0.31,YES
0.44,NO
0.22,YES
0.11,NO
0.13,NO
0.23,NO
0.12,NO
0.11,YES
0.11,NO
0.11,YES
0.52,NO
0.18,NO
0.91,YES
0.59,NO
0.13,NO
0.14,YES
0.16,NO
0.15,NO
0.13,YES
0.3,NO
0.14,YES
0.65,NO
0.58,NO
0.59,NO
0.1,NO
0.51,NO
0.98,NO
0.87,NO
0.54,NO
0.3,NO
0.66,NO
0.18,NO
0.74,NO
0.12,NO
0.68,NO
0.18,YES
0.17,NO
0.98,YES
0.12,NO
0.14,NO
0.21,YES
0.11,YES
0.11,YES
0.13,YES
0.13,NO
0.32,NO
0.16,YES
0.11,NO
0.11,YES
0.11,NO
0.11,NO
0.15,NO
0.12,NO
0.13,NO
0.13,YES
0.32,NO
0.57,YES
0.13,NO
0.11,YES
0.11,NO
0.11,NO
0.11,NO
0.12,NO
0.11,YES
0.11,NO
0.11,YES
0.22,NO
0.36,NO
0.26,YES
0.55,NO
0.1,NO
0.12,YES
