LOWERTRACED_RFSMOTE_MULTI_VSM,Associated
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.92,NO
0.92,NO
0.92,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.22,NO
0.14,NO
0.14,NO
0.22,NO
0.0,NO
0.0,NO
0.22,NO
0.94,YES
0.22,NO
0.94,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.14,NO
0.0,NO
0.14,NO
0.0,NO
0.14,NO
0.94,YES
0.94,YES
0.94,YES
0.94,YES
0.22,NO
0.94,YES
0.22,NO
0.33,YES
0.33,YES
0.44,NO
0.57,NO
0.57,NO
0.44,NO
0.33,YES
0.33,YES
0.44,NO
0.0,NO
0.44,NO
0.0,NO
0.35,NO
0.35,NO
0.35,NO
0.33,YES
0.57,NO
0.33,YES
0.57,NO
0.33,YES
0.57,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.44,NO
0.0,NO
0.44,NO
0.0,NO
0.0,NO
0.96,YES
0.93,YES
0.93,YES
0.96,YES
0.0,NO
0.0,NO
0.96,YES
0.0,NO
0.96,YES
0.0,NO
0.34,NO
0.34,NO
0.34,NO
0.0,NO
0.93,YES
0.0,NO
0.93,YES
0.0,NO
0.93,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.96,YES
0.0,NO
0.96,YES
0.0,NO
0.0,NO
0.13,NO
0.14,NO
0.14,NO
0.13,NO
0.0,NO
0.0,NO
0.13,NO
0.94,YES
0.13,NO
0.94,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.14,NO
0.0,NO
0.14,NO
0.0,NO
0.14,NO
0.94,YES
0.94,YES
0.94,YES
0.94,YES
0.13,NO
0.94,YES
0.13,NO
0.0,NO
0.0,NO
0.4,YES
0.85,YES
0.85,YES
0.4,YES
0.0,NO
0.0,NO
0.4,YES
0.08,NO
0.4,YES
0.08,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.85,YES
0.0,NO
0.85,YES
0.0,NO
0.85,YES
0.08,NO
0.08,NO
0.08,NO
0.08,NO
0.4,YES
0.08,NO
0.4,YES
0.0,NO
0.0,NO
0.12,NO
0.22,NO
0.22,NO
0.12,NO
0.0,NO
0.0,NO
0.12,NO
1.0,YES
0.12,NO
1.0,YES
0.09,NO
0.09,NO
0.09,NO
0.0,NO
0.22,NO
0.0,NO
0.22,NO
0.0,NO
0.22,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.12,NO
1.0,YES
0.12,NO
0.0,NO
0.0,NO
0.17,NO
0.23,NO
0.23,NO
0.17,NO
0.0,NO
0.0,NO
0.17,NO
0.93,YES
0.17,NO
0.93,YES
0.04,NO
0.04,NO
