LOWERTRACED_RFUNDER_SINGLE_LSA,Associated
0.0,NO
0.0,NO
0.07,NO
0.15,NO
0.15,NO
0.07,NO
0.0,NO
0.0,NO
0.07,NO
0.12,YES
0.07,NO
0.12,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.15,NO
0.0,NO
0.15,NO
0.0,NO
0.15,NO
0.12,YES
0.12,YES
0.12,YES
0.12,YES
0.07,NO
0.12,YES
0.07,NO
0.01,YES
0.01,YES
0.11,NO
0.31,NO
0.31,NO
0.11,NO
0.01,YES
0.01,YES
0.11,NO
0.23,NO
0.11,NO
0.23,NO
0.0,NO
0.0,NO
0.0,NO
0.01,YES
0.31,NO
0.01,YES
0.31,NO
0.01,YES
0.31,NO
0.23,NO
0.23,NO
0.23,NO
0.23,NO
0.11,NO
0.23,NO
0.11,NO
0.05,NO
0.05,NO
0.13,NO
0.02,NO
0.02,NO
0.13,NO
0.05,NO
0.05,NO
0.13,NO
0.14,YES
0.13,NO
0.14,YES
0.01,NO
0.01,NO
0.01,NO
0.05,NO
0.02,NO
0.05,NO
0.02,NO
0.05,NO
0.02,NO
0.14,YES
0.14,YES
0.14,YES
0.14,YES
0.13,NO
0.14,YES
0.13,NO
0.0,YES
0.0,YES
0.16,NO
0.33,NO
0.33,NO
0.16,NO
0.0,YES
0.0,YES
0.16,NO
0.12,NO
0.16,NO
0.12,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.33,NO
0.0,YES
0.33,NO
0.0,YES
0.33,NO
0.12,NO
0.12,NO
0.12,NO
0.12,NO
0.16,NO
0.12,NO
0.16,NO
0.1,NO
0.1,NO
0.52,YES
0.0,YES
0.0,YES
0.52,YES
0.1,NO
0.1,NO
0.52,YES
0.15,NO
0.52,YES
0.15,NO
0.0,NO
0.0,NO
0.0,NO
0.1,NO
0.0,YES
0.1,NO
0.0,YES
0.1,NO
0.0,YES
0.15,NO
0.15,NO
0.15,NO
0.15,NO
0.52,YES
0.15,NO
0.52,YES
0.01,NO
0.01,NO
0.04,NO
0.36,NO
0.36,NO
0.04,NO
0.01,NO
0.01,NO
0.04,NO
0.03,YES
0.04,NO
0.03,YES
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.36,NO
0.01,NO
0.36,NO
0.01,NO
0.36,NO
0.03,YES
0.03,YES
0.03,YES
0.03,YES
0.04,NO
0.03,YES
0.04,NO
0.08,NO
0.08,NO
0.05,YES
0.01,YES
0.01,YES
0.05,YES
0.08,NO
0.08,NO
0.05,YES
0.15,NO
0.05,YES
0.15,NO
0.0,NO
0.0,NO
0.0,NO
0.08,NO
0.01,YES
0.08,NO
0.01,YES
0.08,NO
0.01,YES
0.15,NO
0.15,NO
0.15,NO
0.15,NO
0.05,YES
0.15,NO
0.05,YES
0.0,NO
0.0,NO
0.07,NO
0.09,NO
0.09,NO
0.07,NO
0.0,NO
0.0,NO
0.07,NO
0.0,YES
0.07,NO
0.0,YES
0.03,NO
0.03,NO
0.03,NO
0.0,NO
0.09,NO
0.0,NO
0.09,NO
0.0,NO
0.09,NO
0.0,YES
0.0,YES
0.0,YES
0.0,YES
0.07,NO
0.0,YES
0.07,NO
0.09,NO
0.09,NO
0.08,NO
0.0,NO
0.0,NO
0.08,NO
0.09,NO
0.09,NO
0.08,NO
0.05,YES
0.08,NO
0.05,YES
0.01,NO
0.01,NO
