UPPERTRACED_RFSMOTE_MULTI_VSM,Associated
0.87,NO
0.48,NO
0.54,NO
0.72,NO
0.71,NO
0.72,NO
0.9,NO
0.78,NO
0.78,NO
0.63,YES
0.62,NO
0.68,YES
0.78,NO
0.83,NO
0.21,NO
0.57,NO
1.0,NO
0.54,NO
0.75,NO
0.86,NO
0.93,NO
0.62,YES
0.63,YES
0.62,YES
0.78,YES
0.82,NO
0.62,YES
0.81,NO
0.58,YES
0.87,YES
0.71,NO
0.54,NO
0.86,NO
0.79,NO
0.59,YES
0.59,YES
0.67,NO
0.76,NO
0.57,NO
0.51,NO
0.9,NO
0.81,NO
0.08,NO
0.53,YES
0.82,NO
0.59,YES
0.26,NO
0.58,YES
0.69,NO
0.84,NO
0.65,NO
0.8,NO
0.48,NO
0.54,NO
0.93,NO
0.8,NO
0.87,NO
0.48,NO
0.54,NO
0.72,NO
0.71,NO
0.72,NO
0.9,NO
0.78,NO
0.78,NO
0.63,YES
0.62,NO
0.68,YES
0.78,NO
0.83,NO
0.21,NO
0.57,NO
1.0,NO
0.54,NO
0.75,NO
0.86,NO
0.93,NO
0.62,YES
0.63,YES
0.62,YES
0.78,YES
0.82,NO
0.62,YES
0.81,NO
0.58,YES
0.87,YES
0.71,NO
0.54,NO
0.86,NO
0.79,NO
0.59,YES
0.59,YES
0.67,NO
0.76,NO
0.57,NO
0.51,NO
0.9,NO
0.81,NO
0.08,NO
0.53,YES
0.82,NO
0.59,YES
0.26,NO
0.58,YES
0.69,NO
0.84,NO
0.65,NO
0.8,NO
0.48,NO
0.54,NO
0.93,NO
0.8,NO
0.75,NO
0.87,NO
0.92,YES
0.62,YES
0.62,YES
0.62,YES
0.83,NO
0.72,NO
0.94,YES
0.74,NO
0.94,YES
0.71,NO
0.81,NO
0.9,NO
0.67,NO
0.67,NO
0.62,YES
0.62,NO
0.62,YES
0.46,NO
0.62,YES
0.76,NO
0.87,NO
0.99,NO
0.77,NO
0.72,YES
0.99,NO
0.86,YES
0.87,NO
0.48,NO
0.54,NO
0.72,NO
0.71,NO
0.72,NO
0.9,NO
0.78,NO
0.78,NO
0.63,YES
0.62,NO
0.68,YES
0.78,NO
0.83,NO
0.21,NO
0.57,NO
1.0,NO
0.54,NO
0.75,NO
0.86,NO
0.93,NO
0.62,YES
0.63,YES
0.62,YES
0.78,YES
0.82,NO
0.62,YES
0.81,NO
0.75,NO
0.87,NO
0.92,YES
0.62,YES
0.62,YES
0.62,YES
0.83,NO
0.72,NO
0.94,YES
0.74,NO
0.94,YES
0.71,NO
0.81,NO
0.9,NO
0.67,NO
0.67,NO
0.62,YES
0.62,NO
0.62,YES
0.46,NO
0.62,YES
0.76,NO
0.87,NO
0.99,NO
0.77,NO
0.72,YES
0.99,NO
0.86,YES
0.87,NO
0.48,NO
0.54,NO
0.72,NO
0.71,NO
0.72,NO
0.9,NO
0.78,NO
0.78,NO
0.63,YES
0.62,NO
