UPPERTRACED_RFUNDER_MULTI_VSM,Associated
0.52,NO
0.27,NO
0.6,NO
0.71,NO
0.59,NO
0.75,NO
0.61,NO
0.4,NO
0.57,NO
0.77,YES
0.52,NO
0.72,YES
0.63,NO
0.69,NO
0.01,NO
0.57,NO
0.74,NO
0.57,NO
0.62,NO
0.36,NO
0.67,NO
0.77,YES
0.77,YES
0.77,YES
0.55,YES
0.59,NO
0.77,YES
0.56,NO
0.74,YES
0.19,YES
0.53,NO
0.48,NO
0.4,NO
0.52,NO
0.7,YES
0.74,YES
0.37,NO
0.44,NO
0.27,NO
0.34,NO
0.44,NO
0.46,NO
0.17,NO
0.64,YES
0.44,NO
0.74,YES
0.19,NO
0.69,YES
0.35,NO
0.31,NO
0.49,NO
0.34,NO
0.29,NO
0.49,NO
0.48,NO
0.38,NO
0.52,NO
0.27,NO
0.6,NO
0.71,NO
0.59,NO
0.75,NO
0.61,NO
0.4,NO
0.57,NO
0.77,YES
0.52,NO
0.72,YES
0.63,NO
0.69,NO
0.01,NO
0.57,NO
0.74,NO
0.57,NO
0.62,NO
0.36,NO
0.67,NO
0.77,YES
0.77,YES
0.77,YES
0.55,YES
0.59,NO
0.77,YES
0.56,NO
0.74,YES
0.19,YES
0.53,NO
0.48,NO
0.4,NO
0.52,NO
0.7,YES
0.74,YES
0.37,NO
0.44,NO
0.27,NO
0.34,NO
0.44,NO
0.46,NO
0.17,NO
0.64,YES
0.44,NO
0.74,YES
0.19,NO
0.69,YES
0.35,NO
0.31,NO
0.49,NO
0.34,NO
0.29,NO
0.49,NO
0.48,NO
0.38,NO
0.56,NO
0.3,NO
0.66,YES
0.77,YES
0.77,YES
0.76,YES
0.51,NO
0.19,NO
0.68,YES
0.53,NO
0.72,YES
0.5,NO
0.62,NO
0.68,NO
0.47,NO
0.5,NO
0.74,YES
0.53,NO
0.77,YES
0.5,NO
0.77,YES
0.55,NO
0.68,NO
0.69,NO
0.48,NO
0.73,YES
0.75,NO
0.55,YES
0.52,NO
0.27,NO
0.6,NO
0.71,NO
0.59,NO
0.75,NO
0.61,NO
0.4,NO
0.57,NO
0.77,YES
0.52,NO
0.72,YES
0.63,NO
0.69,NO
0.01,NO
0.57,NO
0.74,NO
0.57,NO
0.62,NO
0.36,NO
0.67,NO
0.77,YES
0.77,YES
0.77,YES
0.55,YES
0.59,NO
0.77,YES
0.56,NO
0.56,NO
0.3,NO
0.66,YES
0.77,YES
0.77,YES
0.76,YES
0.51,NO
0.19,NO
0.68,YES
0.53,NO
0.72,YES
0.5,NO
0.62,NO
0.68,NO
0.47,NO
0.5,NO
0.74,YES
0.53,NO
0.77,YES
0.5,NO
0.77,YES
0.55,NO
0.68,NO
0.69,NO
0.48,NO
0.73,YES
0.75,NO
0.55,YES
0.52,NO
0.27,NO
0.6,NO
0.71,NO
0.59,NO
0.75,NO
0.61,NO
0.4,NO
0.57,NO
0.77,YES
0.52,NO
0.72,YES
0.63,NO
0.69,NO
0.01,NO
0.57,NO
0.74,NO
0.57,NO
0.62,NO
0.36,NO
0.67,NO
0.77,YES
0.77,YES
0.77,YES
0.55,YES
0.59,NO
0.77,YES
0.56,NO
0.52,NO
0.27,NO
0.6,NO
0.71,NO
0.59,NO
0.75,NO
0.61,NO
0.4,NO
0.57,NO
0.77,YES
0.52,NO
0.72,YES
0.63,NO
0.69,NO
0.01,NO
0.57,NO
0.74,NO
0.57,NO
0.62,NO
0.36,NO
0.67,NO
0.77,YES
0.77,YES
0.77,YES
0.55,YES
0.59,NO
0.77,YES
0.56,NO
0.52,NO
0.27,NO
0.6,NO
0.71,NO
0.59,NO
0.75,NO
0.61,NO
0.4,NO
0.57,NO
0.77,YES
0.52,NO
0.72,YES
0.63,NO
0.69,NO
0.01,NO
0.57,NO
0.74,NO
0.57,NO
0.62,NO
0.36,NO
0.67,NO
0.77,YES
0.77,YES
0.77,YES
0.55,YES
0.59,NO
0.77,YES
0.56,NO
0.52,NO
0.27,NO
0.6,NO
0.71,NO
0.59,NO
0.75,NO
0.61,NO
0.4,NO
0.57,NO
0.77,YES
0.52,NO
0.72,YES
0.63,NO
0.69,NO
0.01,NO
0.57,NO
0.74,NO
0.57,NO
0.62,NO
0.36,NO
0.67,NO
0.77,YES
0.77,YES
0.77,YES
0.55,YES
0.59,NO
0.77,YES
0.56,NO
0.64,NO
0.49,NO
0.77,YES
0.65,YES
0.59,YES
0.77,YES
0.69,NO
0.48,NO
0.77,YES
0.57,NO
0.77,YES
0.46,NO
0.69,NO
0.74,NO
0.53,NO
0.58,NO
0.68,YES
0.57,NO
0.74,YES
0.58,NO
0.73,YES
0.63,NO
0.68,NO
0.74,NO
0.55,NO
0.77,YES
0.73,NO
0.77,YES
0.39,NO
0.17,NO
0.44,YES
0.35,NO
0.21,NO
0.69,YES
0.43,NO
0.23,NO
0.69,YES
0.31,NO
0.63,YES
0.2,NO
0.48,NO
0.5,NO
0.16,NO
0.18,NO
0.42,NO
0.16,NO
0.32,NO
0.12,NO
0.28,NO
0.27,NO
0.37,NO
0.43,NO
0.29,NO
0.68,YES
0.55,NO
0.68,YES
0.56,NO
0.3,NO
0.66,YES
0.77,YES
0.77,YES
0.76,YES
0.51,NO
0.19,NO
0.68,YES
0.53,NO
0.72,YES
0.5,NO
0.62,NO
0.68,NO
0.47,NO
0.5,NO
0.74,YES
0.53,NO
0.77,YES
0.5,NO
0.77,YES
0.55,NO
0.68,NO
0.69,NO
0.48,NO
0.73,YES
0.75,NO
0.55,YES
0.36,NO
0.1,NO
0.61,YES
0.36,NO
0.22,NO
0.65,YES
0.25,NO
0.2,NO
0.69,YES
0.08,NO
0.68,YES
0.22,NO
0.49,NO
0.29,NO
0.35,NO
0.11,NO
