LOWERTRACED_RFNONE_SINGLE_LSA,Associated
0.0,NO
0.0,NO
0.02,NO
0.08,NO
0.08,NO
0.02,NO
0.0,NO
0.0,NO
0.02,NO
0.04,YES
0.02,NO
0.04,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.08,NO
0.0,NO
0.08,NO
0.0,NO
0.08,NO
0.04,YES
0.04,YES
0.04,YES
0.04,YES
0.02,NO
0.04,YES
0.02,NO
0.0,YES
0.0,YES
0.09,NO
0.15,NO
0.15,NO
0.09,NO
0.0,YES
0.0,YES
0.09,NO
0.16,NO
0.09,NO
0.16,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.15,NO
0.0,YES
0.15,NO
0.0,YES
0.15,NO
0.16,NO
0.16,NO
0.16,NO
0.16,NO
0.09,NO
0.16,NO
0.09,NO
0.01,NO
0.01,NO
0.06,NO
0.01,NO
0.01,NO
0.06,NO
0.01,NO
0.01,NO
0.06,NO
0.04,YES
0.06,NO
0.04,YES
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.04,YES
0.04,YES
0.04,YES
0.04,YES
0.06,NO
0.04,YES
0.06,NO
0.0,YES
0.0,YES
0.06,NO
0.12,NO
0.12,NO
0.06,NO
0.0,YES
0.0,YES
0.06,NO
0.08,NO
0.06,NO
0.08,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.12,NO
0.0,YES
0.12,NO
0.0,YES
0.12,NO
0.08,NO
0.08,NO
0.08,NO
0.08,NO
0.06,NO
0.08,NO
0.06,NO
0.06,NO
0.06,NO
0.18,YES
0.03,YES
0.03,YES
0.18,YES
0.06,NO
0.06,NO
0.18,YES
0.07,NO
0.18,YES
0.07,NO
0.0,NO
0.0,NO
0.0,NO
0.06,NO
0.03,YES
0.06,NO
0.03,YES
0.06,NO
0.03,YES
0.07,NO
0.07,NO
0.07,NO
0.07,NO
0.18,YES
0.07,NO
0.18,YES
0.0,NO
0.0,NO
0.04,NO
0.1,NO
0.1,NO
0.04,NO
0.0,NO
0.0,NO
0.04,NO
0.03,YES
0.04,NO
0.03,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.1,NO
0.0,NO
0.1,NO
0.0,NO
0.1,NO
0.03,YES
0.03,YES
0.03,YES
0.03,YES
0.04,NO
0.03,YES
0.04,NO
0.02,NO
0.02,NO
0.075,YES
0.03,YES
0.03,YES
0.075,YES
0.02,NO
0.02,NO
0.075,YES
0.03,NO
0.075,YES
0.03,NO
0.0,NO
0.0,NO
0.0,NO
0.02,NO
0.03,YES
0.02,NO
0.03,YES
0.02,NO
0.03,YES
0.03,NO
0.03,NO
0.03,NO
0.03,NO
0.075,YES
0.03,NO
0.075,YES
0.0,NO
0.0,NO
0.06,NO
0.04,NO
0.04,NO
0.06,NO
0.0,NO
0.0,NO
0.06,NO
0.01,YES
0.06,NO
0.01,YES
0.04,NO
0.04,NO
0.04,NO
0.0,NO
0.04,NO
0.0,NO
0.04,NO
0.0,NO
0.04,NO
0.01,YES
0.01,YES
0.01,YES
0.01,YES
0.06,NO
0.01,YES
0.06,NO
0.07,NO
0.07,NO
0.06,NO
0.0,NO
0.0,NO
0.06,NO
0.07,NO
0.07,NO
0.06,NO
0.03,YES
0.06,NO
0.03,YES
0.0,NO
0.0,NO
