LOWERTRACED_RFUNDER_SINGLE_VSM_RFSMOTE,Associated
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.23,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
0.99,YES
1.0,YES
1.0,YES
0.13,NO
1.0,YES
0.0,NO
1.0,YES
1.0,YES
0.01,NO
0.13,NO
0.0,NO
0.0,NO
1.0,YES
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.23,NO
0.14,NO
0.13,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.13,NO
0.0,NO
0.0,NO
0.0,NO
0.14,NO
0.0,NO
0.0,NO
0.12,NO
0.23,NO
0.08,NO
0.0,NO
0.0,NO
0.56,YES
0.16,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.05,NO
0.14,NO
0.0,NO
0.0,NO
0.23,NO
0.0,NO
0.56,YES
0.68,YES
1.0,YES
1.0,YES
0.21,NO
1.0,YES
0.0,NO
1.0,YES
1.0,YES
0.01,NO
0.21,NO
0.12,NO
0.1,NO
1.0,YES
1.0,YES
0.26,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.01,NO
0.01,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.02,YES
1.0,YES
1.0,YES
0.02,YES
0.0,NO
0.0,NO
0.15,YES
0.17,NO
0.17,YES
0.31,NO
0.24,NO
0.27,NO
0.27,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.3,NO
1.0,YES
0.0,NO
0.0,NO
0.75,NO
0.0,NO
1.0,YES
0.0,NO
0.56,YES
0.91,NO
0.0,NO
0.74,NO
0.74,NO
0.74,NO
1.0,NO
1.0,NO
0.56,NO
0.75,NO
1.0,YES
0.9,NO
1.0,YES
0.74,NO
1.0,NO
0.99,NO
0.0,NO
0.28,NO
0.0,NO
0.08,NO
0.23,NO
0.08,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.11,NO
1.0,YES
0.01,NO
0.01,NO
0.0,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.0,NO
0.0,NO
0.99,YES
0.03,NO
1.0,YES
0.05,NO
0.03,NO
0.01,NO
0.01,NO
0.04,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.01,NO
0.01,NO
0.01,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.06,NO
0.08,NO
0.0,NO
0.16,NO
0.09,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
