LOWERTRACED_RFSMOTE_SINGLE_VSM_RFSMOTE,Associated
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.21,NO
0.91,YES
0.0,NO
0.91,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.68,YES
0.67,YES
0.87,YES
0.91,YES
0.1,NO
0.69,YES
0.0,NO
1.0,YES
0.91,YES
0.0,NO
0.1,NO
0.0,NO
0.0,NO
0.91,YES
0.99,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.21,NO
0.1,NO
0.1,NO
0.91,YES
0.0,NO
1.0,YES
0.0,NO
0.91,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.09,NO
0.0,NO
0.0,NO
0.0,NO
0.1,NO
0.0,NO
0.0,NO
0.1,NO
0.2,NO
0.11,NO
0.0,NO
0.0,NO
0.68,YES
0.13,NO
0.91,YES
0.01,NO
0.0,NO
0.0,NO
0.06,NO
0.1,NO
0.0,NO
0.01,NO
0.21,NO
0.0,NO
0.68,YES
0.73,YES
0.91,YES
0.91,YES
0.2,NO
0.91,YES
0.0,NO
1.0,YES
0.91,YES
0.0,NO
0.2,NO
0.1,NO
0.07,NO
0.91,YES
1.0,YES
0.22,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.91,YES
0.0,NO
0.83,YES
0.0,NO
0.91,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.91,YES
1.0,YES
1.0,YES
0.91,YES
0.0,NO
0.0,NO
0.68,YES
0.18,NO
0.91,YES
0.32,NO
0.29,NO
0.34,NO
0.34,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.27,NO
1.0,YES
0.0,NO
0.0,NO
0.77,NO
0.0,NO
0.9,YES
0.0,NO
0.91,YES
0.89,NO
0.0,NO
0.79,NO
0.78,NO
0.79,NO
1.0,NO
1.0,NO
0.61,NO
0.89,NO
0.87,YES
0.89,NO
0.9,YES
0.78,NO
0.97,NO
0.89,NO
0.0,NO
0.32,NO
0.0,NO
0.04,NO
0.17,NO
0.06,NO
0.9,YES
0.9,YES
0.9,YES
0.9,YES
0.11,NO
0.9,YES
0.0,NO
0.0,NO
0.0,NO
1.0,YES
0.89,YES
0.89,YES
0.99,YES
0.0,NO
0.0,NO
0.98,YES
0.03,NO
0.99,YES
0.1,NO
0.02,NO
0.02,NO
0.01,NO
0.06,NO
0.95,YES
0.0,NO
0.92,YES
0.0,NO
0.93,YES
0.01,NO
0.01,NO
0.01,NO
0.0,NO
1.0,YES
0.0,NO
0.99,YES
0.0,NO
0.0,NO
0.01,NO
0.04,NO
0.06,NO
0.0,NO
0.11,NO
0.04,NO
0.0,NO
0.95,YES
0.0,NO
0.93,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.95,YES
0.95,YES
0.95,YES
0.95,YES
0.0,NO
0.94,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.95,YES
0.0,NO
0.95,YES
