NONETRACED_MEDIAN_RAW_VSM_RFSMOTE,Associated
0.12,NO
0.0,NO
0.06,NO
0.01,NO
0.0,NO
0.14,NO
0.0,NO
0.01,NO
0.01,NO
0.01,YES
0.0,NO
0.01,YES
0.01,NO
0.01,NO
0.01,NO
0.06,NO
0.01,NO
0.07,NO
0.1,NO
0.01,NO
0.06,NO
0.07,YES
0.14,YES
0.01,YES
0.01,YES
0.01,NO
0.1,YES
0.01,NO
0.08,YES
0.01,YES
0.01,NO
0.01,NO
0.06,NO
0.07,NO
0.01,YES
0.03,YES
0.01,NO
0.04,NO
0.03,NO
0.05,NO
0.01,NO
0.01,NO
0.01,NO
0.01,YES
0.09,NO
0.05,YES
0.0,NO
0.01,YES
0.0,NO
0.0,NO
0.09,NO
0.0,NO
0.11,NO
0.01,NO
0.06,NO
0.04,NO
0.18,NO
0.01,NO
0.0,NO
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.0,NO
0.01,NO
0.01,YES
0.01,NO
0.01,YES
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.0,NO
0.01,NO
0.01,NO
0.01,NO
0.01,YES
0.01,YES
0.01,YES
0.01,YES
0.01,NO
0.01,YES
0.0,NO
0.0,YES
0.01,YES
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.01,YES
0.0,YES
0.01,NO
0.04,NO
0.0,NO
0.19,NO
0.01,NO
0.01,NO
0.01,NO
0.01,YES
0.1,NO
0.16,YES
0.0,NO
0.01,YES
0.0,NO
0.0,NO
0.17,NO
0.0,NO
0.05,NO
0.01,NO
0.0,NO
0.0,NO
0.16,NO
0.0,NO
0.01,YES
0.01,YES
0.01,YES
0.01,YES
0.26,NO
0.0,NO
0.01,YES
0.02,NO
0.01,YES
0.02,NO
0.01,NO
0.01,NO
0.01,NO
0.13,NO
0.01,YES
0.13,NO
0.01,YES
0.02,NO
0.01,YES
0.12,NO
0.12,NO
0.01,NO
0.12,NO
0.01,YES
0.18,NO
0.02,YES
0.02,NO
0.34,NO
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.04,NO
0.03,NO
0.01,YES
0.01,NO
0.01,YES
0.01,NO
0.01,NO
0.01,NO
0.34,NO
0.02,NO
0.33,NO
0.19,NO
0.01,NO
0.04,NO
0.01,YES
0.01,YES
0.01,YES
0.01,YES
0.01,NO
0.01,YES
0.2,NO
0.2,NO
0.54,NO
0.19,YES
0.01,YES
0.01,YES
0.04,YES
0.29,NO
0.85,NO
0.01,YES
0.01,NO
0.19,YES
0.03,NO
0.01,NO
0.01,NO
0.01,NO
0.03,NO
0.01,YES
0.04,NO
0.01,YES
0.03,NO
0.01,YES
0.01,NO
0.01,NO
0.01,NO
0.1,NO
0.03,YES
0.15,NO
0.03,YES
0.04,NO
0.33,NO
0.01,NO
0.01,NO
0.02,NO
0.01,NO
0.01,NO
0.02,NO
0.01,NO
0.01,YES
0.01,NO
0.01,YES
0.01,NO
0.01,NO
0.01,NO
0.97,NO
0.17,NO
0.99,NO
0.14,NO
0.01,NO
0.17,NO
0.01,YES
0.03,YES
0.01,YES
0.01,YES
0.01,NO
0.01,YES
0.04,NO
0.22,NO
0.03,NO
0.01,NO
0.01,NO
0.02,NO
0.01,NO
0.03,NO
0.2,NO
0.01,NO
0.01,YES
0.01,NO
0.01,YES
0.03,NO
0.35,NO
0.54,NO
0.01,NO
0.02,NO
0.01,NO
0.01,NO
0.02,NO
0.01,NO
0.01,YES
0.01,YES
0.01,YES
0.01,YES
0.01,NO
0.01,YES
0.01,NO
0.02,NO
0.32,NO
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.01,YES
0.01,NO
0.01,YES
0.01,NO
0.01,NO
0.01,NO
0.48,NO
0.03,NO
0.48,NO
0.01,NO
0.01,NO
0.04,NO
0.01,YES
0.01,YES
0.01,YES
0.01,YES
0.01,NO
0.01,YES
0.07,NO
0.41,NO
0.45,NO
0.15,NO
0.01,NO
0.04,NO
0.31,NO
0.42,NO
0.41,NO
0.04,NO
0.01,YES
0.42,NO
0.01,YES
0.01,NO
0.01,NO
0.01,NO
0.31,NO
0.14,NO
0.31,NO
0.2,NO
0.01,NO
0.02,NO
0.01,YES
0.01,YES
0.01,YES
0.01,YES
0.01,NO
0.09,YES
0.13,NO
0.11,NO
0.48,NO
0.01,YES
0.02,YES
0.01,YES
0.01,YES
0.01,NO
0.11,NO
0.01,YES
0.15,NO
0.01,YES
0.11,NO
0.01,NO
0.02,NO
0.02,NO
0.29,NO
0.13,YES
0.31,NO
0.01,YES
0.01,NO
0.01,YES
0.01,NO
0.31,NO
0.01,NO
0.01,NO
0.01,YES
0.01,NO
0.01,YES
0.01,NO
0.02,NO
0.01,YES
0.01,NO
0.02,NO
0.01,YES
0.01,NO
0.08,NO
0.01,YES
0.01,NO
0.01,YES
0.02,NO
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.02,NO
0.01,NO
0.02,NO
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.01,YES
0.01,NO
0.01,YES
0.31,NO
0.38,NO
0.01,YES
0.01,YES
0.01,YES
0.01,YES
0.01,NO
0.43,NO
0.01,YES
0.01,NO
0.01,YES
0.08,NO
0.01,NO
0.01,NO
0.01,NO
0.42,NO
0.01,YES
0.42,NO
0.01,YES
0.01,NO
0.01,YES
0.01,NO
0.01,NO
0.01,NO
0.09,NO
0.01,YES
0.01,NO
0.01,YES
0.01,NO
0.01,NO
0.01,YES
0.01,NO
0.01,NO
0.01,YES
0.01,NO
0.02,NO
0.01,YES
0.01,NO
0.01,YES
0.03,NO
0.01,NO
0.02,NO
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.31,NO
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.01,YES
0.01,NO
0.01,YES
0.46,NO
0.54,NO
0.43,YES
0.01,YES
0.01,YES
0.43,YES
0.41,NO
1.0,NO
0.01,YES
0.09,NO
0.43,YES
0.13,NO
0.01,NO
0.01,NO
0.21,NO
0.45,NO
0.01,YES
0.45,NO
0.02,YES
0.01,NO
0.01,YES
0.34,NO
0.44,NO
0.46,NO
0.45,NO
0.47,YES
0.43,NO
0.54,YES
0.01,YES
0.55,YES
0.01,NO
0.02,NO
0.03,NO
0.02,NO
0.01,YES
0.01,YES
0.02,NO
0.53,NO
0.02,NO
0.86,NO
0.01,NO
0.01,NO
0.02,NO
0.46,YES
0.19,NO
0.01,YES
0.96,NO
0.01,YES
0.84,NO
0.1,NO
0.33,NO
0.01,NO
0.01,NO
0.01,NO
0.02,NO
0.15,NO
0.46,NO
0.9,NO
0.01,YES
0.09,YES
0.46,YES
0.01,YES
0.46,NO
0.9,NO
0.01,YES
0.25,NO
0.01,YES
0.54,NO
0.01,NO
0.01,NO
0.01,NO
0.46,NO
0.09,YES
0.49,NO
0.01,YES
0.46,NO
0.01,YES
0.01,NO
0.22,NO
0.01,NO
0.01,NO
0.01,YES
0.01,NO
0.01,YES
0.01,NO
0.93,NO
0.01,YES
0.01,YES
0.01,YES
0.01,YES
0.01,NO
0.06,NO
0.01,YES
0.01,NO
0.01,YES
0.11,NO
0.01,NO
0.01,NO
0.01,NO
0.19,NO
0.02,YES
0.33,NO
0.01,YES
0.01,NO
0.02,YES
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.01,YES
0.01,NO
0.01,YES
0.01,NO
0.08,NO
0.01,YES
0.01,YES
0.01,YES
0.01,YES
0.01,NO
0.01,NO
0.01,YES
0.08,NO
0.01,YES
0.1,NO
0.02,NO
0.19,NO
0.1,NO
0.01,NO
0.01,YES
0.01,NO
0.01,YES
0.01,NO
0.01,YES
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.01,YES
0.01,NO
0.01,YES
0.12,NO
0.06,NO
0.01,YES
0.06,YES
0.01,YES
0.01,YES
0.0,NO
0.0,NO
0.01,YES
0.05,NO
0.01,YES
0.05,NO
0.01,NO
0.01,NO
0.02,NO
0.0,NO
0.0,YES
0.0,NO
0.01,YES
0.0,NO
0.01,YES
0.01,NO
0.03,NO
0.01,NO
0.0,NO
0.01,YES
0.01,NO
0.01,YES
0.01,NO
0.01,NO
0.0,YES
0.01,YES
0.01,YES
0.02,YES
0.02,NO
0.0,NO
0.01,YES
0.01,NO
0.0,YES
0.02,NO
0.01,NO
0.01,NO
0.01,NO
0.01,NO
0.01,YES
0.01,NO
0.01,YES
0.02,NO
0.01,YES
0.01,NO
0.01,NO
0.01,NO
0.0,NO
0.02,YES
0.01,NO
0.01,YES
0.01,NO
0.0,NO
0.01,YES
0.01,YES
0.01,YES
0.01,YES
0.01,NO
0.0,NO
0.01,YES
0.01,NO
0.01,YES
0.01,NO
0.03,NO
0.0,NO
0.0,NO
0.01,NO
0.01,YES
0.01,NO
0.01,YES
0.01,NO
0.01,YES
0.01,NO
0.03,NO
0.01,NO
0.01,NO
0.01,YES
0.01,NO
0.01,YES
0.01,NO
0.0,NO
0.01,NO
0.01,NO
0.0,NO
0.02,NO
0.02,NO
0.0,NO
0.01,NO
0.01,NO
0.0,NO
0.0,NO
0.01,YES
0.01,YES
0.01,YES
0.0,NO
0.05,NO
0.0,NO
0.0,NO
0.02,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.01,NO
0.01,YES
0.09,YES
0.01,NO
0.01,NO
0.02,NO
0.0,NO
0.01,YES
0.03,YES
0.01,NO
0.02,NO
0.0,NO
0.01,NO
0.01,NO
0.02,NO
0.02,NO
0.01,YES
0.01,NO
0.01,YES
0.0,NO
0.01,YES
0.01,NO
0.02,NO
0.0,NO
0.01,NO
0.03,NO
0.02,NO
0.02,NO
0.01,NO
0.0,NO
0.0,NO
0.01,YES
0.01,YES
0.01,YES
0.01,YES
0.01,NO
