LOWERTRACED_MAX_SINGLE_VSM_RFSMOTE,Associated
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.27,NO
1.0,YES
0.0,NO
1.0,YES
0.01,NO
0.01,NO
0.01,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.27,NO
1.0,YES
0.0,NO
1.0,YES
1.0,YES
0.01,NO
0.27,NO
0.08,NO
0.03,NO
1.0,YES
1.0,YES
0.12,NO
0.03,NO
0.03,NO
0.03,NO
0.27,NO
0.27,NO
0.27,NO
1.0,YES
0.07,NO
1.0,YES
0.07,NO
1.0,YES
0.07,NO
0.03,NO
0.03,NO
0.03,NO
0.03,NO
0.22,NO
0.03,NO
0.03,NO
0.0,NO
0.27,NO
0.21,NO
0.01,NO
0.26,NO
0.27,NO
0.22,NO
0.0,NO
0.01,NO
0.77,YES
0.27,NO
1.0,YES
0.01,NO
0.01,NO
0.01,NO
0.09,NO
0.27,NO
0.0,NO
0.03,NO
0.27,NO
0.01,NO
0.77,YES
0.8,YES
1.0,YES
1.0,YES
0.27,NO
1.0,YES
0.21,NO
1.0,YES
1.0,YES
0.43,NO
0.91,NO
0.97,NO
0.96,NO
1.0,YES
1.0,YES
0.9,NO
0.37,NO
0.94,NO
0.32,NO
0.88,NO
0.88,NO
0.88,NO
1.0,YES
0.6,NO
1.0,YES
0.51,NO
1.0,YES
0.52,NO
0.7,NO
0.34,NO
0.7,NO
0.46,NO
0.81,NO
0.79,NO
0.91,NO
0.0,NO
0.0,NO
0.86,YES
1.0,YES
1.0,YES
0.86,YES
0.0,NO
0.0,NO
0.83,YES
0.0,NO
0.86,YES
0.83,NO
0.22,NO
0.54,NO
0.54,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.78,NO
0.0,NO
0.86,YES
0.0,NO
0.86,YES
1.0,NO
0.0,NO
0.34,NO
0.2,NO
0.34,NO
1.0,NO
1.0,NO
0.0,NO
0.91,NO
1.0,YES
1.0,NO
1.0,YES
0.34,NO
1.0,NO
1.0,NO
0.0,NO
0.95,NO
0.0,NO
0.23,NO
0.31,NO
0.27,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.21,NO
1.0,YES
0.23,NO
0.0,NO
0.0,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.0,NO
0.0,NO
0.99,YES
0.66,NO
1.0,YES
0.94,NO
0.1,NO
0.07,NO
0.08,NO
0.6,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.67,NO
0.68,NO
0.68,NO
0.87,NO
0.97,YES
0.88,NO
0.97,YES
0.0,NO
0.0,NO
0.08,NO
0.76,NO
0.76,NO
0.18,NO
0.76,NO
0.75,NO
0.11,NO
1.0,YES
0.1,NO
1.0,YES
0.01,NO
0.08,NO
0.08,NO
0.0,NO
0.42,NO
0.0,NO
0.6,NO
0.02,NO
0.66,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.01,NO
1.0,YES
0.64,NO
0.03,NO
0.02,NO
0.02,NO
0.09,NO
0.37,NO
0.06,NO
0.18,NO
0.18,NO
0.04,NO
1.0,YES
0.02,NO
1.0,YES
0.0,NO
