LOWERTRACED_RFNONE_SINGLE_VSM_RFSMOTE,Associated
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.43,NO
0.85,YES
0.0,NO
0.85,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.82,YES
0.79,YES
0.85,YES
0.85,YES
0.33,NO
0.85,YES
0.0,NO
0.97,YES
0.95,YES
0.0,NO
0.33,NO
0.0,NO
0.0,NO
0.95,YES
0.97,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.43,NO
0.33,NO
0.33,NO
0.95,YES
0.0,NO
0.97,YES
0.0,NO
0.95,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.23,NO
0.0,NO
0.0,NO
0.0,NO
0.33,NO
0.0,NO
0.0,NO
0.3,NO
0.42,NO
0.18,NO
0.0,NO
0.0,NO
0.46,YES
0.38,NO
0.76,YES
0.0,NO
0.0,NO
0.0,NO
0.09,NO
0.33,NO
0.0,NO
0.01,NO
0.43,NO
0.0,NO
0.46,YES
0.57,YES
0.77,YES
0.76,YES
0.4,NO
0.76,YES
0.0,NO
1.0,YES
1.0,YES
0.0,NO
0.41,NO
0.3,NO
0.23,NO
1.0,YES
1.0,YES
0.44,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.01,NO
0.01,NO
1.0,YES
0.0,NO
0.99,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.02,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.99,YES
0.99,YES
0.0,YES
0.0,NO
0.0,NO
0.16,YES
0.0,NO
0.0,YES
0.37,NO
0.19,NO
0.26,NO
0.26,NO
0.0,NO
0.95,YES
0.0,NO
0.99,YES
0.0,NO
0.96,YES
0.0,NO
0.0,NO
0.17,NO
0.0,NO
1.0,YES
0.0,NO
0.0,YES
0.89,NO
0.0,NO
0.57,NO
0.56,NO
0.57,NO
1.0,NO
1.0,NO
0.0,NO
0.66,NO
0.99,YES
0.9,NO
1.0,YES
0.57,NO
1.0,NO
0.95,NO
0.0,NO
0.38,NO
0.0,NO
0.0,NO
0.3,NO
0.0,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.3,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
1.0,YES
0.99,YES
0.99,YES
1.0,YES
0.0,NO
0.0,NO
0.98,YES
0.12,NO
1.0,YES
0.2,NO
0.12,NO
0.12,NO
0.12,NO
0.19,NO
0.99,YES
0.0,NO
0.99,YES
0.0,NO
0.99,YES
0.12,NO
0.12,NO
0.12,NO
0.0,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.04,NO
0.15,NO
0.22,NO
0.04,NO
0.27,NO
0.21,NO
0.03,NO
1.0,YES
0.03,NO
1.0,YES
0.02,NO
0.02,NO
0.01,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
1.0,YES
1.0,YES
1.0,YES
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.62,NO
0.0,NO
0.03,NO
0.0,NO
0.0,NO
0.51,YES
0.0,NO
0.52,YES
0.0,NO
