LOWERTRACED_RFUNDER_SINGLE_VSM_RFNONE,Associated
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.18,NO
0.84,YES
0.0,NO
0.74,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.63,YES
0.63,YES
0.93,YES
0.84,YES
0.02,NO
0.8,YES
0.01,NO
0.89,YES
0.84,YES
0.08,NO
0.02,NO
0.0,NO
0.0,NO
0.86,YES
0.89,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.09,NO
0.03,NO
0.02,NO
0.91,YES
0.0,NO
0.93,YES
0.0,NO
0.74,YES
0.0,NO
0.01,NO
0.0,NO
0.03,NO
0.0,NO
0.06,NO
0.0,NO
0.12,NO
0.0,NO
0.02,NO
0.0,NO
0.0,NO
0.01,NO
0.07,NO
0.01,NO
0.0,NO
0.0,NO
0.53,YES
0.05,NO
0.92,YES
0.0,NO
0.0,NO
0.0,NO
0.02,NO
0.02,NO
0.0,NO
0.01,NO
0.11,NO
0.0,NO
0.51,YES
0.58,YES
0.87,YES
0.93,YES
0.07,NO
0.92,YES
0.0,NO
0.93,YES
0.92,YES
0.08,NO
0.07,NO
0.01,NO
0.16,NO
0.76,YES
0.93,YES
0.14,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.01,NO
0.01,NO
0.92,YES
0.0,NO
0.84,YES
0.0,NO
0.78,YES
0.0,NO
0.01,NO
0.0,NO
0.02,NO
0.0,NO
0.01,NO
0.01,NO
0.01,NO
0.0,NO
0.0,NO
0.01,YES
0.66,YES
0.8,YES
0.02,YES
0.0,NO
0.0,NO
0.1,YES
0.07,NO
0.07,YES
0.26,NO
0.12,NO
0.14,NO
0.14,NO
0.0,NO
0.79,YES
0.0,NO
0.79,YES
0.13,NO
0.81,YES
0.0,NO
0.0,NO
0.55,NO
0.0,NO
0.64,YES
0.0,NO
0.39,YES
0.53,NO
0.0,NO
0.56,NO
0.55,NO
0.56,NO
0.69,NO
0.67,NO
0.36,NO
0.52,NO
0.62,YES
0.5,NO
0.89,YES
0.5,NO
0.59,NO
0.66,NO
0.0,NO
0.2,NO
0.0,NO
0.02,NO
0.21,NO
0.06,NO
0.86,YES
0.87,YES
0.9,YES
0.9,YES
0.1,NO
0.92,YES
0.0,NO
0.0,NO
0.0,NO
0.27,YES
0.79,YES
0.81,YES
0.04,YES
0.0,NO
0.0,NO
0.02,YES
0.02,NO
0.27,YES
0.1,NO
0.02,NO
0.01,NO
0.01,NO
0.09,NO
0.73,YES
0.0,NO
0.7,YES
0.0,NO
0.7,YES
0.01,NO
0.01,NO
0.01,NO
0.0,NO
0.05,YES
0.0,NO
0.04,YES
0.0,NO
0.0,NO
0.01,NO
0.02,NO
0.02,NO
0.02,NO
0.05,NO
0.02,NO
0.02,NO
0.92,YES
0.01,NO
0.85,YES
0.01,NO
0.02,NO
0.01,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.94,YES
0.96,YES
0.94,YES
0.72,YES
0.0,NO
0.96,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.18,NO
0.01,NO
0.01,NO
0.0,NO
0.0,NO
0.77,YES
0.0,NO
0.96,YES
0.0,NO
