LOWERTRACED_MAX_MULTI_VSM_RFSMOTE,Associated
0.0,NO
0.0,NO
0.01,NO
0.2,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.54,NO
0.72,YES
0.0,NO
0.59,YES
0.07,NO
0.07,NO
0.07,NO
0.01,NO
0.0,NO
0.01,NO
0.0,NO
0.19,NO
0.01,NO
0.9,YES
0.91,YES
1.0,YES
0.72,YES
0.51,NO
0.89,YES
0.0,NO
1.0,YES
0.72,YES
0.06,NO
0.52,NO
0.01,NO
0.01,NO
0.58,YES
0.99,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.54,NO
0.52,NO
0.52,NO
0.61,YES
0.0,NO
1.0,YES
0.0,NO
0.59,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.54,NO
0.01,NO
0.0,NO
0.0,NO
0.54,NO
0.03,NO
0.03,NO
0.03,NO
0.03,NO
0.47,NO
0.0,NO
0.03,NO
0.4,YES
0.06,NO
1.0,YES
0.41,NO
0.26,NO
0.29,NO
0.58,NO
0.3,NO
0.0,NO
0.58,NO
0.6,NO
0.75,NO
0.4,YES
0.43,YES
0.59,YES
1.0,YES
0.76,NO
1.0,YES
0.88,NO
0.82,YES
0.79,YES
0.87,NO
0.86,NO
0.86,NO
0.87,NO
0.82,YES
0.82,YES
0.88,NO
0.0,NO
0.92,NO
0.0,NO
0.91,NO
0.92,NO
0.92,NO
0.79,YES
0.91,NO
0.78,YES
0.78,NO
0.83,YES
0.78,NO
0.0,NO
0.0,NO
0.01,NO
0.0,NO
0.89,NO
0.02,NO
0.94,NO
0.0,NO
0.0,NO
1.0,YES
0.71,YES
0.73,YES
1.0,YES
0.0,NO
0.0,NO
1.0,YES
0.04,NO
1.0,YES
0.7,NO
0.98,NO
0.99,NO
0.99,NO
0.0,NO
0.84,YES
0.0,NO
0.71,YES
0.05,NO
0.84,YES
0.01,NO
0.01,NO
0.87,NO
0.02,NO
1.0,YES
0.05,NO
1.0,YES
0.99,NO
0.14,NO
0.98,NO
0.98,NO
0.98,NO
0.99,NO
1.0,NO
1.0,NO
0.98,NO
0.7,YES
0.99,NO
0.73,YES
0.82,NO
1.0,NO
1.0,NO
0.51,NO
0.98,NO
0.51,NO
0.98,NO
0.79,NO
0.99,NO
0.7,YES
0.71,YES
0.73,YES
0.73,YES
0.98,NO
1.0,YES
0.98,NO
0.45,NO
0.46,NO
0.93,YES
0.73,YES
0.86,YES
0.94,YES
0.44,NO
0.51,NO
0.88,YES
0.99,NO
0.93,YES
0.99,NO
0.3,NO
0.28,NO
0.28,NO
0.91,NO
0.86,YES
0.5,NO
0.86,YES
0.5,NO
0.86,YES
0.99,NO
0.99,NO
0.99,NO
0.99,NO
0.92,YES
1.0,NO
0.93,YES
1.0,NO
0.95,NO
0.99,NO
1.0,NO
0.99,NO
1.0,NO
1.0,NO
1.0,NO
1.0,NO
0.99,YES
1.0,NO
0.84,YES
0.94,NO
1.0,NO
1.0,NO
1.0,NO
1.0,NO
1.0,NO
1.0,NO
0.29,NO
1.0,NO
0.99,YES
0.99,YES
0.99,YES
0.73,YES
0.99,NO
0.99,YES
1.0,NO
0.54,NO
0.62,NO
0.99,NO
1.0,NO
1.0,NO
1.0,NO
0.51,NO
0.5,NO
0.99,NO
0.71,YES
0.99,NO
0.99,YES
0.01,NO
