LOWERTRACED_RFNONE_SINGLE_VSM_RFNONE,Associated
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.35,NO
0.01,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,YES
0.0,YES
0.0,YES
0.01,YES
0.07,NO
0.0,YES
0.0,NO
0.24,YES
0.01,YES
0.03,NO
0.07,NO
0.0,NO
0.0,NO
0.0,YES
0.03,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.26,NO
0.05,NO
0.06,NO
0.0,YES
0.0,NO
0.21,YES
0.0,NO
0.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.19,NO
0.0,NO
0.0,NO
0.0,NO
0.05,NO
0.0,NO
0.0,NO
0.05,NO
0.16,NO
0.06,NO
0.0,NO
0.0,NO
0.2,YES
0.14,NO
0.47,YES
0.01,NO
0.0,NO
0.0,NO
0.08,NO
0.05,NO
0.0,NO
0.04,NO
0.26,NO
0.0,NO
0.2,YES
0.23,YES
0.38,YES
0.46,YES
0.15,NO
0.45,YES
0.0,NO
1.0,YES
0.96,YES
0.03,NO
0.16,NO
0.05,NO
0.47,NO
0.7,YES
1.0,YES
0.27,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.01,NO
0.99,YES
0.0,NO
1.0,YES
0.0,NO
0.76,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.0,YES
0.0,YES
0.0,YES
0.0,NO
0.0,NO
0.18,YES
0.0,NO
0.0,YES
0.49,NO
0.17,NO
0.27,NO
0.27,NO
0.0,NO
0.01,YES
0.0,NO
0.0,YES
0.0,NO
0.01,YES
0.0,NO
0.0,NO
0.25,NO
0.0,NO
0.67,YES
0.0,NO
0.0,YES
0.34,NO
0.0,NO
0.56,NO
0.52,NO
0.56,NO
0.74,NO
0.5,NO
0.0,NO
0.3,NO
0.52,YES
0.33,NO
0.9,YES
0.48,NO
0.69,NO
0.67,NO
0.0,NO
0.14,NO
0.0,NO
0.0,NO
0.16,NO
0.0,NO
0.8,YES
0.81,YES
0.92,YES
0.91,YES
0.13,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.24,YES
0.01,YES
0.02,YES
0.01,YES
0.0,NO
0.0,NO
0.1,YES
0.07,NO
0.24,YES
0.07,NO
0.07,NO
0.07,NO
0.07,NO
0.07,NO
0.02,YES
0.0,NO
0.02,YES
0.0,NO
0.02,YES
0.07,NO
0.06,NO
0.06,NO
0.0,NO
0.0,YES
0.0,NO
0.01,YES
0.0,NO
0.0,NO
0.02,NO
0.08,NO
0.01,NO
0.03,NO
0.1,NO
0.0,NO
0.03,NO
0.99,YES
0.03,NO
0.85,YES
0.02,NO
0.03,NO
0.03,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.02,NO
0.0,NO
0.99,YES
1.0,YES
0.99,YES
0.71,YES
0.02,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.02,NO
0.08,NO
0.64,NO
0.02,NO
0.05,NO
0.01,NO
0.0,NO
0.0,YES
0.0,NO
0.0,YES
0.0,NO
