LOWERTRACED_MAX_SINGLE_VSM_RFUNDER,Associated
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.37,NO
0.85,YES
0.0,NO
0.96,YES
0.01,NO
0.01,NO
0.01,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.99,YES
1.0,YES
1.0,YES
0.85,YES
0.1,NO
0.98,YES
0.0,NO
1.0,YES
0.85,YES
0.05,NO
0.11,NO
0.0,NO
0.0,NO
0.98,YES
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.33,NO
0.07,NO
0.11,NO
0.99,YES
0.0,NO
1.0,YES
0.0,NO
0.96,YES
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.2,NO
0.0,NO
0.0,NO
0.0,NO
0.05,NO
0.02,NO
0.0,NO
0.05,NO
0.31,NO
0.05,NO
0.0,NO
0.03,NO
0.96,YES
0.23,NO
1.0,YES
0.01,NO
0.0,NO
0.0,NO
0.07,NO
0.05,NO
0.0,NO
0.03,NO
0.33,NO
0.01,NO
0.96,YES
0.9,YES
0.98,YES
1.0,YES
0.27,NO
1.0,YES
0.02,NO
1.0,YES
1.0,YES
0.01,NO
0.01,NO
0.01,NO
0.02,NO
0.98,YES
1.0,YES
0.03,NO
0.0,NO
0.0,NO
0.0,NO
0.01,NO
0.04,NO
0.09,NO
1.0,YES
0.0,NO
1.0,YES
0.0,NO
0.97,YES
0.0,NO
0.02,NO
0.0,NO
0.03,NO
0.0,NO
0.02,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.0,YES
0.96,YES
0.99,YES
0.0,YES
0.0,NO
0.0,NO
0.03,YES
0.0,NO
0.0,YES
0.38,NO
0.14,NO
0.22,NO
0.22,NO
0.0,NO
1.0,YES
0.0,NO
0.98,YES
0.0,NO
0.98,YES
0.0,NO
0.01,NO
0.18,NO
0.01,NO
0.06,YES
0.0,NO
0.0,YES
0.37,NO
0.0,NO
0.44,NO
0.42,NO
0.44,NO
0.76,NO
0.68,NO
0.01,NO
0.31,NO
0.9,YES
0.41,NO
0.99,YES
0.4,NO
0.66,NO
0.71,NO
0.01,NO
0.15,NO
0.0,NO
0.0,NO
0.19,NO
0.01,NO
0.98,YES
0.98,YES
0.99,YES
0.99,YES
0.15,NO
1.0,YES
0.0,NO
0.0,NO
0.0,NO
0.78,YES
0.98,YES
0.98,YES
0.75,YES
0.0,NO
0.0,NO
0.79,YES
0.0,NO
0.78,YES
0.0,NO
0.09,NO
0.09,NO
0.09,NO
0.05,NO
1.0,YES
0.0,NO
0.98,YES
0.0,NO
0.98,YES
0.09,NO
0.03,NO
0.03,NO
0.0,NO
0.74,YES
0.0,NO
0.75,YES
0.0,NO
0.0,NO
0.04,NO
0.19,NO
0.07,NO
0.05,NO
0.21,NO
0.01,NO
0.05,NO
1.0,YES
0.05,NO
0.85,YES
0.04,NO
0.05,NO
0.05,NO
0.0,NO
0.0,NO
0.0,NO
0.0,NO
0.03,NO
0.0,NO
1.0,YES
1.0,YES
1.0,YES
0.96,YES
0.04,NO
1.0,YES
0.0,NO
0.01,NO
0.03,NO
0.13,NO
0.28,NO
0.62,NO
0.28,NO
0.24,NO
0.03,NO
0.0,NO
0.98,YES
0.0,NO
1.0,YES
0.0,NO
