TraceType,IndirectAggregation,ScalingType,NLP,Technique,AUC,Credibility,LagGlobal,MAP,AUC_Rank,Credibility_Rank,LagGlobal_Rank,MAP_Rank
ALLTRACED,RFSMOTE,MULTI,VSM,ALLTRACED_RFSMOTE_MULTI_VSM,1.0,1.0,0.0,1.0,30,24,36,30
ALLTRACED,RFUNDER,SINGLE,LSA,ALLTRACED_RFUNDER_SINGLE_LSA,1.0,1.0,0.0,1.0,30,24,36,30
ALLTRACED,RFNONE,MULTI,LSA,ALLTRACED_RFNONE_MULTI_LSA,1.0,1.0,0.0,1.0,30,24,36,30
ALLTRACED,RFUNDER,RAW,VSM,ALLTRACED_RFUNDER_RAW_VSM,1.0,1.0,0.0,1.0,30,24,36,30
ALLTRACED,RFUNDER,MULTI,LSA,ALLTRACED_RFUNDER_MULTI_LSA,1.0,1.0,0.0,1.0,30,24,36,30
ALLTRACED,MAX,SINGLE,VSM,ALLTRACED_MAX_SINGLE_VSM,1.0,1.0,0.0,1.0,30,24,36,30
ALLTRACED,RFNONE,RAW,LSA,ALLTRACED_RFNONE_RAW_LSA,1.0,1.0,0.0,1.0,30,24,36,30
ALLTRACED,SUM,RAW,VSM,ALLTRACED_SUM_RAW_VSM,1.0,0.2761904761904762,0.0,1.0,30,36,36,30
ALLTRACED,RFSMOTE,SINGLE,VSM,ALLTRACED_RFSMOTE_SINGLE_VSM,1.0,1.0,0.0,1.0,30,24,36,30
ALLTRACED,RFNONE,SINGLE,LSA,ALLTRACED_RFNONE_SINGLE_LSA,1.0,1.0,0.0,1.0,30,24,36,30
ALLTRACED,RFUNDER,MULTI,VSM,ALLTRACED_RFUNDER_MULTI_VSM,1.0,1.0,0.0,1.0,30,24,36,30
ALLTRACED,RFNONE,MULTI,VSM,ALLTRACED_RFNONE_MULTI_VSM,1.0,1.0,0.0,1.0,30,24,36,30
ALLTRACED,RFSMOTE,RAW,LSA,ALLTRACED_RFSMOTE_RAW_LSA,1.0,1.0,0.0,1.0,30,24,36,30
ALLTRACED,RFUNDER,RAW,LSA,ALLTRACED_RFUNDER_RAW_LSA,1.0,1.0,0.0,1.0,30,24,36,30
ALLTRACED,MAX,MULTI,LSA,ALLTRACED_MAX_MULTI_LSA,1.0,1.0,0.0,1.0,30,24,36,30
